year,sex,age,nkids,income_average,loan_average,region,earner
2011,female,56,0,8499.50,0,Greater London,yes
2011,male,57,0,10499.50,0,Scotland,yes
2011,female,54,2,27499.50,0,South East,yes
2011,female,63,0,44999.50,750,Greater London,yes
2011,female,50,0,44999.50,0,North West,yes
2011,male,42,1,8499.50,0,North West,yes
2011,male,76,0,16499.50,0,South East,no
2011,male,36,2,12499.50,"1,250",North West,yes
2011,female,64,0,5499.50,0,North,yes
2011,male,62,0,34999.50,750,South East,no
2011,male,38,2,62499.50,0,Yorks&Humber,no
2011,female,56,0,5499.50,0,E Anglia,yes
2011,female,52,0,21249.50,"4,750",E Midlands,yes
2011,female,54,0,44999.50,0,E Anglia,yes
2011,male,73,0,8499.50,350,W Midlands,no
2011,female,42,0,62499.50,0,North,yes
2011,male,40,0,2750.00,0,E Anglia,yes
2011,female,19,0,8499.50,"22,500",W Midlands,yes
2011,male,45,2,21249.50,0,South East,no
2011,female,75,0,34999.50,0,South East,yes
2011,female,72,0,21249.50,0,South East,yes
2011,male,43,3,14499.50,"22,500",Greater London,yes
2011,female,63,0,27499.50,0,Yorks&Humber,yes
2011,male,35,0,44999.50,"4,250",Yorks&Humber,yes
2011,male,42,4,21249.50,350,North,no
2011,female,58,0,34999.50,0,South East,yes
2011,female,31,1,27499.50,350,North,yes
2011,male,37,1,87499.50,750,Wales,no
2011,male,29,2,14499.50,0,Yorks&Humber,no
2011,male,40,4,21249.50,750,E Midlands,no
2011,female,43,1,62499.50,"12,500",E Midlands,yes
2011,female,62,0,44999.50,0,South East,no
2011,female,21,1,8499.50,"1,750",Wales,no
2011,female,21,0,27499.50,0,North,yes
2011,male,52,0,44999.50,0,E Midlands,no
2011,male,41,2,34999.50,125,South West,yes
2011,female,47,0,62499.50,"17,500",South East,no
2011,female,68,0,34999.50,0,South East,yes
2011,female,40,3,12499.50,"2,750",Greater London,yes
2011,male,69,0,6999.50,125,South East,yes
2011,male,39,2,62499.50,"4,750",E Midlands,no
2011,male,38,3,44999.50,0,South East,no
2011,male,56,1,62499.50,0,South East,no
2011,male,22,3,6999.50,750,Yorks&Humber,no
2011,male,55,0,10499.50,0,W Midlands,yes
2011,male,45,0,12499.50,"17,500",Greater London,yes
2011,female,34,1,21249.50,"2,250",South East,yes
2011,female,41,0,100000.00,0,Yorks&Humber,yes
2011,female,62,0,14499.50,125,South East,yes
2011,male,36,2,100000.00,0,South West,no
2011,female,28,0,14499.50,125,North,yes
2011,male,44,0,14499.50,"4,750",Scotland,yes
2011,male,53,0,2750.00,350,Yorks&Humber,yes
2011,female,41,3,21249.50,0,North,no
2011,male,42,3,62499.50,0,E Midlands,no
2011,male,41,0,62499.50,750,W Midlands,no
2011,female,68,0,27499.50,"1,250",South East,yes
2011,female,33,0,100000.00,"12,500",South East,yes
2011,female,75,0,10499.50,0,Greater London,yes
2011,male,54,0,44999.50,0,South East,yes
